rank,candidate_id,title,company,score,honeypot_score,flags,flag_count,retr,eval,ltr,sys,reasoning
2,CAND_0086022,Senior Applied Scientist,Sarvam AI,87.865506,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.5,2.0,3.0,1.0,"Senior Applied Scientist at Sarvam AI with 5.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
3,CAND_0018499,Senior Machine Learning Engineer,Zomato,87.225288,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.5,2.0,3.0,1.0,"Senior Machine Learning Engineer at Zomato with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems."
4,CAND_0046064,Senior NLP Engineer,Salesforce,79.059266,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.0,2.0,3.0,1.0,"Senior NLP Engineer at Salesforce with 8.9 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
5,CAND_0081846,Lead AI Engineer,Razorpay,73.891475,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.0,2.0,3.0,1.0,"Lead AI Engineer at Razorpay with 6.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
22,CAND_0094759,Lead AI Engineer,Meta,55.961843,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.0,2.0,3.0,1.0,"Lead AI Engineer at Meta with 8.6 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems."
42,CAND_0005260,Senior NLP Engineer,Netflix,47.663912,0.0,"jd-copyish-many-phrases:bm25,dense retrieval,bge,faiss,llm-based re-ranker",1,2.0,2.0,3.0,1.0,"Senior NLP Engineer at Netflix with 5.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
67,CAND_0009837,Senior Data Scientist,Rephrase.ai,41.083676,0.0,ai-skills-heavy-thin-history(8),1,1.0,0.0,3.0,1.0,"Senior Data Scientist at Rephrase.ai with 4.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Behavioral signals: 60-day notice (buyout possible)."
1,CAND_0064326,Search Engineer,Sarvam AI,91.298478,0.0,,0,2.5,2.0,3.0,1.0,"Search Engineer at Sarvam AI with 7.6 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
6,CAND_0077337,Staff Machine Learning Engineer,Paytm,71.569389,0.0,,0,2.0,2.0,3.0,1.0,"Staff Machine Learning Engineer at Paytm with 7.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
7,CAND_0068811,Applied ML Engineer,Freshworks,70.458732,0.0,,0,2.0,2.0,2.0,1.0,"Applied ML Engineer at Freshworks with 8.0 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
