candidate_id,rank,score,reasoning
CAND_0046525,1,96.178,"Excellent JD fit: Senior Machine Learning Engineer at Genpact AI with 6.1 years of experience maps to the search/ranking mandate through direct learning-to-rank/reranking evidence: designed multiple ranker variants and validated them through A/B testing. Adds retrieval/search support: BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker; Caveat: current services/consulting context, so product-company transfer is a recruiter check."
CAND_0018499,2,95.1,"Excellent JD fit: Senior Machine Learning Engineer at Zomato with 7.2 years of experience is a high-signal match because the profile shows direct learning-to-rank/reranking evidence: BM25 + dense retrieval with FAISS HNSW and an LLM-based reranker. The profile connects the role's intelligence-layer needs: matching, retrieval, re-ranking, and quality evaluation; Caveat: career history has 2 career roles with copy-pasted descriptions (deduplicated before scoring)."
CAND_0086022,3,93.225,"Excellent JD fit: Senior Applied Scientist at Sarvam AI with 5.3 years of experience maps to the search/ranking mandate through direct learning-to-rank/reranking evidence: BM25 + dense retrieval with FAISS HNSW and an LLM-based reranker. Full-system signal is present across candidate discovery, hybrid retrieval, ranker iteration, and measurement; Skill-duration metadata has 2 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0077337,4,92.676,"Excellent JD fit: Staff Machine Learning Engineer at Paytm with 7.0 years of experience is a high-signal match because the profile shows direct learning-to-rank/reranking evidence: shipped a production recommendation system at a marketplace product. Adds retrieval/search support: retrieval system combining BM25 with dense vector recall, serving 50M+ queries; The main caveat is logistics: the candidate is outside the preferred/welcome cities, but relocation is indicated."
CAND_0071974,5,90.895,Strong JD fit: Senior AI Engineer at Netflix with 7.8 years of experience maps to the search/ranking mandate through direct learning-to-rank/reranking evidence: shipped a production recommendation system at a marketplace product. Also shows retrieval/search evidence: fine-tuned BGE-large -> Pinecone retrieval -> learning-to-rank re-scoring; Review caveat: location/no-relocation combination is a major hiring-friction risk for this role; CE score is also saturated at ceiling - treat as a sanity-check case.
CAND_0081846,6,90.233,"Excellent JD fit: Lead AI Engineer at Razorpay with 6.7 years of experience is strongest on direct learning-to-rank/reranking evidence, with profile text saying: BM25 + dense retrieval with FAISS HNSW and an LLM-based reranker. Evidence covers the four practical JD pillars: discovery workflow, search infrastructure, ranker design, and measurement; Skill-duration metadata has 2 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0046064,7,89.763,"Strong JD fit: Senior NLP Engineer at Salesforce with 8.9 years of experience maps to the search/ranking mandate through direct learning-to-rank/reranking evidence: BM25 + dense retrieval with FAISS HNSW and an LLM-based reranker. The profile connects the role's intelligence-layer needs: matching, retrieval, re-ranking, and quality evaluation; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0062247,8,87.681,"Excellent JD fit: AI Engineer at Google with 7.3 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Also shows retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; The main caveat is logistics: the candidate is outside the preferred/welcome cities, but relocation is indicated."
CAND_0080766,9,87.431,"Strong JD fit: Staff Machine Learning Engineer at Salesforce with 8.8 years of experience has hands-on direct retrieval/search evidence rather than only keyword overlap: migrated BM25 retrieval to a sparse+dense hybrid search setup. Also has ranking evaluation evidence: worked on ranking-quality evaluation and iteration; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0011687,10,85.726,Strong JD fit: Senior NLP Engineer at Niramai with 7.8 years of experience showing clear retrieval/search evidence: fine-tuned BGE-large -> Pinecone retrieval -> learning-to-rank re-scoring. Also has ranking evaluation evidence: owned the offline-online evaluation harness - NDCG/MRR/recall calibrated; Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0088025,11,82.119,Strong JD fit: Staff Machine Learning Engineer at Yellow.ai with 8.6 years of experience showing clear retrieval/search evidence: fine-tuned BGE-large -> Pinecone retrieval -> learning-to-rank re-scoring. Also shows ranking evaluation evidence: simulated A/B tests that held up over the last 18 months; Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0002025,12,78.995,"Strong JD fit: Senior AI Engineer at Apple with 5.9 years of experience has hands-on direct learning-to-rank/reranking evidence rather than only keyword overlap: shipped a production recommendation system at a marketplace product. Also has retrieval/search evidence: retrieval system combining BM25 with dense vector recall, across a corpus; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0064326,13,78.963,"Strong JD fit: Search Engineer at Sarvam AI with 7.6 years of experience is a high-signal match because the profile shows direct learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Also shows retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0079387,14,76.304,"Strong JD fit: AI Engineer at Microsoft with 6.9 years of experience showing clear retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval. Adds ranking evaluation support: BM25 setup, validated through human relevance judgments; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0060054,15,76.104,"Strong JD fit: AI Engineer at Mad Street Den with 6.4 years of experience is a high-signal match because the profile shows direct learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Also shows retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Skill-duration metadata has 1 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0068811,16,72.76,Strong JD fit: Applied ML Engineer at Freshworks with 8.0 years of experience showing clear retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval. Adds ranking evaluation support: Designed a relevance labeling pipeline using click-through data; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
