rank,candidate_id,score,judge_tier,judge_note,title,company,yoe,location,open_to_work,last_active,response_rate,notice_days,willing_relocate,github,saved_30d,apps_30d,core_score,ce_score,rrf_score,retrieval_search,vector_db_hybrid,eval_framework,ltr_reranking,llm_integration,python_coding,sys_experience_score,product_ratio,experience_recency,depth_signal,ninety_day_alignment,wrong_domain,research_only,suspicious,honeypot_score,is_ghost,roles,current_description,relevant_skills,submission_reasoning
1,CAND_0064326,91.298478,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Search Engineer,Sarvam AI,7.6,"Gurgaon, Haryana",True,2026-05-21,0.94,45,False,61.4,60,14,78.23,78.68,0.03339677010564224,2.5,2.5,2.0,3.0,2.0,1.5,1.0,1.0,1.0,1.0,0.9867,False,False,False,0.0,False,*Search Engineer @ Sarvam AI [31m] | Machine Learning Engineer @ Aganitha [24m] | Machine Learning Engineer @ Freshworks [24m] | Machine Learning Engineer @ Apple [12m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","PyTorch(expert,36m); Milvus(advanced,58m); Semantic Search(advanced,37m); Weaviate(expert,51m); RAG(expert,46m); BM25(advanced,41m); Python(expert,60m); QLoRA(expert,76m)","Search Engineer at Sarvam AI with 7.6 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
2,CAND_0086022,87.865506,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Senior Applied Scientist,Sarvam AI,5.3,"Kolkata, West Bengal",True,2026-04-15,0.55,0,True,75.2,53,6,77.36,81.18,0.036792441563012035,2.5,2.5,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.5,0.9867,False,False,False,0.0,False,*Senior Applied Scientist @ Sarvam AI [25m] | Senior ML Engineer — Search & Ranking @ Uber [38m],"Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engag","Vector Search(advanced,36m); Recommendation Systems(advanced,53m); pgvector(expert,78m); Fine-tuning LLMs(expert,69m); Elasticsearch(advanced,35m); QLoRA(advanced,54m); Pinecone(expert,63m); Embeddings(expert,71m); PyTorch(expert,94m); LoRA(advanced,33m)","Senior Applied Scientist at Sarvam AI with 5.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
3,CAND_0018499,87.225288,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Senior Machine Learning Engineer,Zomato,7.2,"Noida, Uttar Pradesh",True,2026-05-13,0.61,15,True,94.8,16,18,80.19,81.18,0.038487921784621563,2.5,2.5,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9867,False,False,False,0.0,False,*Senior Machine Learning Engineer @ Zomato [26m] | Staff Machine Learning Engineer @ Google [18m] | Senior Machine Learning Engineer @ Flipkart [42m],"Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engag","Weaviate(expert,88m); Recommendation Systems(expert,46m); Pinecone(advanced,54m); Information Retrieval(advanced,27m); Milvus(expert,40m); QLoRA(expert,43m); RAG(expert,94m); Embeddings(expert,65m); BM25(advanced,18m)","Senior Machine Learning Engineer at Zomato with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems."
4,CAND_0046064,79.059266,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Senior NLP Engineer,Salesforce,8.9,"Coimbatore, Tamil Nadu",True,2026-04-26,0.78,30,False,67.3,25,3,73.38,84.24,0.06839017825389776,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.5,1.0,0.9422,False,False,False,0.0,False,*Senior NLP Engineer @ Salesforce [36m] | Lead AI Engineer @ Verloop.io [34m] | Senior ML Engineer — Search & Ranking @ Amazon [36m],"Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. ","Python(expert,40m); Pinecone(expert,85m); BM25(expert,64m); OpenSearch(advanced,21m); Elasticsearch(expert,78m); QLoRA(advanced,45m); Semantic Search(advanced,43m)","Senior NLP Engineer at Salesforce with 8.9 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
5,CAND_0081846,73.891475,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Lead AI Engineer,Razorpay,6.7,"Jaipur, Rajasthan",True,2026-05-03,0.73,30,True,33.7,62,16,77.59,75.98,0.044493839286158056,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9422,False,False,False,0.0,False,*Lead AI Engineer @ Razorpay [27m] | Senior Machine Learning Engineer @ Paytm [52m],"Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engag","Information Retrieval(expert,93m); pgvector(advanced,38m); Elasticsearch(expert,60m); PyTorch(advanced,27m); Vector Search(expert,79m); Recommendation Systems(expert,62m); Python(expert,75m); Embeddings(expert,95m); Semantic Search(advanced,19m); BM25(expert,75m); Qdrant(expert,49m)","Lead AI Engineer at Razorpay with 6.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the top-50, falling back to a learning-to-rank model when latency budget was ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
6,CAND_0077337,71.569389,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Staff Machine Learning Engineer,Paytm,7.0,"Kochi, Kerala",True,2026-05-26,0.95,60,True,68.0,32,9,77.59,87.96,0.04194781085687611,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9422,False,False,False,0.0,False,*Staff Machine Learning Engineer @ Paytm [19m] | Senior NLP Engineer @ Razorpay [14m] | Senior NLP Engineer @ Glance [44m] | Senior AI Engineer @ Aganitha [6m],"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. The most interesting technical challenge was the cold-start problem for new users; I designed an explorati","Semantic Search(advanced,39m); QLoRA(expert,47m); pgvector(expert,75m); Pinecone(advanced,24m); BM25(expert,66m); Information Retrieval(expert,61m); LLMs(expert,63m); RAG(expert,77m); Qdrant(expert,56m); Recommendation Systems(expert,86m); Python(expert,82m); OpenSearch(advanced,29m)","Staff Machine Learning Engineer at Paytm with 7.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
7,CAND_0068811,70.458732,Tier 5 / Ideal-ish,complete JD stack; only logistics/availability may separate from rank 1,Applied ML Engineer,Freshworks,8.0,"Pune, Maharashtra",True,2026-05-21,0.42,30,True,23.1,4,6,70.85,43.67,0.020808970697817376,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8533,False,False,False,0.0,False,*Applied ML Engineer @ Freshworks [19m] | AI Engineer @ Yellow.ai [26m] | Recommendation Systems Engineer @ Meesho [25m] | Search Engineer @ Salesforce [25m],Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-day retent,"Vector Search(expert,79m); Qdrant(expert,70m); Embeddings(advanced,30m); pgvector(expert,47m); Pinecone(expert,86m); OpenSearch(expert,70m); Weaviate(advanced,60m)","Applied ML Engineer at Freshworks with 8.0 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
8,CAND_0005538,67.949646,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior AI Engineer,Adobe,5.9,"Kolkata, West Bengal",True,2026-05-17,0.81,90,False,58.0,20,23,73.87,93.92,0.023795487433930992,3.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7333,False,False,False,0.0,False,*Senior AI Engineer @ Adobe [15m] | Lead AI Engineer @ Locobuzz [30m] | Senior Machine Learning Engineer @ Google [14m] | Lead AI Engineer @ Glance [10m],"Led the engineering team building infrastructure to surface relevant content to users at scale. The system processed billions of documents and served millions of queries with low latency. Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. I had a small ","Vector Representations(expert,46m); QLoRA(advanced,58m); Python(advanced,38m); PyTorch(expert,74m); LoRA(advanced,36m); Information Retrieval Systems(advanced,55m); pgvector(expert,91m)","Senior AI Engineer at Adobe with 5.9 years of experience: Strong evidence in Retrieval Systems, specifically: 'sential parts: index refresh, query understanding, ranking calibration, and t...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
9,CAND_0080766,67.474418,Tier 4 / Strong,strong JD technical fit; one meaningful gap or logistics concern,Staff Machine Learning Engineer,Salesforce,8.8,"Coimbatore, Tamil Nadu",False,2026-04-09,0.66,0,True,32.9,27,17,74.33,64.17,0.023748358963614304,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9422,False,False,False,0.0,False,*Staff Machine Learning Engineer @ Salesforce [38m] | Staff Machine Learning Engineer @ Aganitha [12m] | Lead AI Engineer @ Swiggy [43m] | Senior Machine Learning Engineer @ Haptik [12m],"Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most of my time went into the boring-but-critical operational layer — feature monitoring, drift detection, retraining cadence — rather than the modeling itsel","Search Backend(expert,55m); LoRA(expert,71m); Search & Discovery(expert,74m); Search Infrastructure(expert,49m); Information Retrieval Systems(advanced,28m); Elasticsearch(advanced,40m); QLoRA(expert,55m); OpenSearch(advanced,35m); Python(expert,53m); Milvus(advanced,48m)","Staff Machine Learning Engineer at Salesforce with 8.8 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Shipped the personalization infrastructure: the system that learns from'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
10,CAND_0071974,66.935731,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior AI Engineer,Netflix,7.8,"Vizag, Andhra Pradesh",True,2026-04-16,0.76,45,False,82.8,50,14,69.0,78.32,0.05392728978602743,2.0,2.0,0.0,3.0,2.5,1.0,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*Senior AI Engineer @ Netflix [50m] | Staff Machine Learning Engineer @ Meta [28m] | Staff Machine Learning Engineer @ Mad Street Den [14m],Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three ,"LoRA(advanced,41m); Weaviate(expert,61m); BM25(expert,58m); Pinecone(expert,51m); Information Retrieval(advanced,29m); Qdrant(expert,68m); Embeddings(expert,46m); RAG(advanced,35m); Elasticsearch(expert,96m)","Senior AI Engineer at Netflix with 7.8 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in LLM Integration & RAG. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
